City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Hofn,IS,2020-10-31 07:59:08,64.25,-15.21,45.68,78,94,20.38
161,Wentzville,US,2020-10-31 07:59:08,38.81,-90.85,42.01,87,0,8.28
162,Flinders,AU,2020-10-31 07:59:08,-34.58,150.86,66.99,76,40,4.0
163,Baoning,CN,2020-10-31 07:59:09,25.34,110.03,78.8,57,75,4.47
164,Port Hardy,CA,2020-10-31 07:59:09,50.7,-127.42,46.4,93,90,2.24
165,Flin Flon,CA,2020-10-31 07:59:09,54.77,-101.86,20.7,97,100,16.2
166,Sulina,RO,2020-10-31 07:59:09,45.16,29.65,53.49,65,54,12.1
167,Calamba,PH,2020-10-31 07:59:10,14.21,121.17,91.4,55,40,10.29
168,Kehtna,EE,2020-10-31 07:59:10,58.93,24.88,39.99,99,0,3.65
169,Begusarai,IN,2020-10-31 07:59:10,25.42,86.13,91.11,37,0,6.69
170,Kapit,MY,2020-10-31 07:59:10,2.02,112.93,85.42,84,100,2.55
171,Urumqi,CN,2020-10-31 07:59:11,43.8,87.6,50.0,37,0,8.95
172,Kurilsk,RU,2020-10-31 07:59:12,45.23,147.88,43.23,73,79,19.51
173,Yabrud,SY,2020-10-31 07:59:12,33.97,36.66,69.8,40,40,5.82
174,Nagato,JP,2020-10-31 07:59:12,34.38,131.2,64.99,48,0,9.17
175,Mitsamiouli,KM,2020-10-31 07:59:13,-11.38,43.28,79.66,72,100,4.38
176,Teterow,DE,2020-10-31 07:59:13,53.78,12.57,57.99,100,75,6.93
177,Sale,MA,2020-10-31 07:59:13,34.04,-6.82,55.4,100,90,4.99
178,Ust-Kuyga,RU,2020-10-31 07:59:13,70.02,135.6,0.79,92,100,3.22
179,Fengcheng,CN,2020-10-31 07:59:13,40.45,124.07,54.95,74,97,10.16
180,Hami,CN,2020-10-31 07:56:40,42.8,93.45,52.59,36,0,5.41
181,Wamba,NG,2020-10-31 07:59:14,8.93,8.6,82.92,39,7,1.43
182,Quatre Cocos,MU,2020-10-31 07:59:14,-20.21,57.76,77.0,47,20,13.87
183,Zabol,AF,2020-10-31 07:59:14,32.25,67.25,63.5,21,0,8.34
184,Byron Bay,AU,2020-10-31 07:55:58,-28.65,153.62,71.6,73,40,14.99
185,Guia De Isora,ES,2020-10-31 07:59:15,28.21,-16.78,78.8,21,0,11.41
186,La Ronge,CA,2020-10-31 07:59:15,55.1,-105.28,21.2,85,100,13.87
187,Deer Lake,CA,2020-10-31 07:55:15,49.17,-57.43,15.8,85,40,2.37
188,Kambove,CD,2020-10-31 07:59:16,-10.88,26.6,81.7,31,14,10.85
189,Butaritari,KI,2020-10-31 07:59:16,3.07,172.79,82.2,76,60,19.89
190,Huarmey,PE,2020-10-31 07:59:16,-10.07,-78.15,62.51,86,100,7.23
191,Tura,IN,2020-10-31 07:59:17,25.52,90.22,79.36,85,100,3.98
192,Kishapu,TZ,2020-10-31 07:59:17,-3.62,33.87,82.98,34,74,12.97
193,Acopiara,BR,2020-10-31 07:59:17,-6.1,-39.45,73.81,84,100,4.79
194,Sinnai,IT,2020-10-31 07:59:17,39.3,9.2,62.6,100,0,5.82
195,Castelnaudary,FR,2020-10-31 07:59:17,43.32,1.95,53.6,100,90,3.36
196,Atlantic Beach,US,2020-10-31 07:59:18,30.33,-81.4,73.4,69,75,16.11
197,Kimbe,PG,2020-10-31 07:59:18,-5.55,150.14,77.76,88,100,3.33
198,Camacha,PT,2020-10-31 07:59:18,33.08,-16.33,66.2,88,20,4.7
199,Iralaya,HN,2020-10-31 07:59:18,15.0,-83.23,79.77,85,100,10.98
200,Muisne,EC,2020-10-31 07:59:18,0.6,-80.03,74.01,87,100,6.82
201,Namyslow,PL,2020-10-31 07:59:19,51.08,17.72,55.0,86,100,1.01
202,Hovd,MN,2020-10-31 07:59:19,48.01,91.64,36.28,67,13,3.69
203,Eureka,US,2020-10-31 07:59:19,40.8,-124.16,46.99,93,1,3.36
204,Svetlogorsk,BY,2020-10-31 07:59:19,52.63,29.73,47.01,86,95,6.55
205,San Cristobal,VE,2020-10-31 07:59:20,7.77,-72.22,66.4,92,100,3.0
206,Dingli,MT,2020-10-31 07:59:20,35.86,14.38,69.01,77,20,2.24
207,Lebu,CL,2020-10-31 07:59:20,-37.62,-73.65,50.77,91,2,9.31
208,Kentau,KZ,2020-10-31 07:59:21,43.52,68.51,66.25,21,0,9.62
209,Nouadhibou,MR,2020-10-31 07:59:21,20.93,-17.03,66.2,88,75,14.99
210,Ocean City,US,2020-10-31 07:59:21,39.28,-74.57,37.99,86,1,4.7
211,Waihi Beach,NZ,2020-10-31 07:59:21,-37.4,175.93,64.0,88,11,6.8
212,Solnechnyy,RU,2020-10-31 07:59:21,50.72,136.63,34.11,89,100,4.92
213,Sabang,ID,2020-10-31 07:59:22,5.89,95.32,82.38,78,25,16.82
214,Isla Mujeres,MX,2020-10-31 07:59:22,21.23,-86.73,73.4,100,90,4.7
215,Nalut,LY,2020-10-31 07:59:22,30.33,10.85,61.65,67,0,8.21
216,Rognedino,RU,2020-10-31 07:59:22,53.8,33.56,46.47,87,100,5.66
217,Vung Tau,VN,2020-10-31 07:59:23,10.35,107.08,83.66,75,73,10.56
218,Xuddur,SO,2020-10-31 07:59:23,4.12,43.89,82.47,60,46,10.38
219,Vardo,NO,2020-10-31 07:59:23,70.37,31.11,33.94,86,24,15.21
220,Tuktoyaktuk,CA,2020-10-31 07:59:23,69.45,-133.04,3.76,92,86,7.54
221,Provideniya,RU,2020-10-31 07:59:24,64.38,-173.3,20.88,85,100,6.44
222,Victoria,HK,2020-10-31 07:57:05,22.29,114.16,78.8,54,20,4.7
223,Asyut,EG,2020-10-31 07:55:56,27.18,31.18,71.6,78,0,11.41
224,Port Hedland,AU,2020-10-31 07:59:25,-20.32,118.57,89.6,40,0,21.92
225,Bol,TD,2020-10-31 07:59:25,13.46,14.71,82.51,39,0,18.84
226,Pacifica,US,2020-10-31 07:59:25,37.61,-122.49,53.6,81,20,5.82
227,Manadhoo,MV,2020-10-31 07:59:25,5.77,73.38,82.69,68,100,6.15
228,Sinnamary,GF,2020-10-31 07:59:25,5.38,-52.95,78.37,89,69,8.43
229,Vao,NC,2020-10-31 07:59:26,-22.67,167.48,73.89,85,3,19.8
230,Avera,US,2020-10-31 07:59:26,33.19,-82.53,51.8,76,1,9.17
231,Andenes,NO,2020-10-31 07:59:26,69.31,16.12,41.0,78,100,20.8
232,Lundazi,ZM,2020-10-31 07:59:27,-12.29,33.18,85.26,30,1,9.73
233,Genhe,CN,2020-10-31 07:59:27,50.78,121.52,28.18,97,100,6.55
234,Saldanha,ZA,2020-10-31 07:59:28,-33.01,17.94,69.8,30,0,9.17
235,Vanimo,PG,2020-10-31 07:59:29,-2.67,141.3,82.47,73,69,6.38
236,Tabas,IR,2020-10-31 07:59:31,33.6,56.92,71.6,15,0,2.24
237,Petropavlovsk-Kamchatskiy,RU,2020-10-31 07:59:31,53.05,158.65,37.4,100,75,2.24
238,Chuy,UY,2020-10-31 07:59:32,-33.7,-53.46,52.5,87,84,2.1
239,Chiredzi,ZW,2020-10-31 07:59:32,-21.05,31.67,80.17,49,79,10.29
240,Aksu,CN,2020-10-31 07:59:32,41.12,80.26,57.49,34,0,4.56
241,Kabanjahe,ID,2020-10-31 07:59:33,3.1,98.49,72.37,85,100,1.86
242,Lukoyanov,RU,2020-10-31 07:59:33,55.03,44.48,40.87,93,100,1.72
243,Fuerte Olimpo,PY,2020-10-31 07:59:33,-21.04,-57.87,65.52,63,14,8.39
244,Nioki,CD,2020-10-31 07:59:06,-2.72,17.68,78.24,81,98,0.78
245,Masaka,UG,2020-10-31 07:59:34,-0.33,31.73,72.86,77,43,9.17
246,Ayan,RU,2020-10-31 07:59:34,56.45,138.17,29.5,89,82,3.29
247,Esperance,AU,2020-10-31 07:59:35,-33.87,121.9,95.0,16,100,14.99
248,Tasiilaq,GL,2020-10-31 07:59:35,65.61,-37.64,33.8,86,100,16.11
249,Finnsnes,NO,2020-10-31 07:59:35,69.23,17.98,28.0,100,75,21.92
250,Tual,ID,2020-10-31 07:59:35,-5.67,132.75,83.75,72,6,13.35
251,Luganville,VU,2020-10-31 07:59:36,-15.53,167.17,78.39,84,83,12.24
252,Los Llanos De Aridane,ES,2020-10-31 07:59:36,28.66,-17.92,71.6,60,0,9.17
253,Vrangel,RU,2020-10-31 07:59:36,42.73,133.08,51.78,72,100,14.41
254,Parabel,RU,2020-10-31 07:59:36,58.7,81.48,35.04,95,100,8.52
255,Santa Cruz Cabralia,BR,2020-10-31 07:54:45,-16.28,-39.02,75.2,83,75,4.7
256,Airai,TL,2020-10-31 07:59:37,-8.93,125.41,72.45,65,46,2.01
257,Khatanga,RU,2020-10-31 07:59:37,71.97,102.5,-10.73,86,0,6.08
258,Uray,RU,2020-10-31 07:59:38,60.12,64.78,37.04,87,34,10.09
259,Yatou,CN,2020-10-31 07:59:38,37.15,122.38,59.54,76,99,13.78
260,Tuatapere,NZ,2020-10-31 07:59:38,-46.13,167.68,48.99,87,9,15.01
261,Sussex,US,2020-10-31 07:54:50,41.18,-74.67,30.0,79,1,4.45
262,Cockburn Town,TC,2020-10-31 07:59:39,21.46,-71.14,82.74,80,89,20.24
263,Bethel,US,2020-10-31 07:59:39,41.37,-73.41,28.99,92,1,6.58
264,Port Blair,IN,2020-10-31 07:57:38,11.67,92.75,84.16,74,83,11.32
265,Saint-Georges,GD,2020-10-31 07:59:40,12.06,-61.75,78.8,88,75,9.17
266,Loubomo,CG,2020-10-31 07:59:40,-4.2,12.67,78.03,81,100,1.16
267,Bodo,NO,2020-10-31 07:59:41,67.28,14.4,39.99,86,75,14.99
268,Santa Isabel Do Rio Negro,BR,2020-10-31 07:59:41,-0.41,-65.02,73.87,97,100,2.64
269,Ugoofaaru,MV,2020-10-31 07:59:41,5.67,73.0,82.8,68,83,5.99
270,Castro,BR,2020-10-31 07:59:42,-24.79,-50.01,53.31,92,100,9.15
271,Timaru,NZ,2020-10-31 07:59:42,-44.4,171.25,55.0,97,100,5.01
272,Livingston,GB,2020-10-31 07:59:43,55.9,-3.52,53.6,87,75,12.75
273,Moen,NO,2020-10-31 07:59:43,69.13,18.61,28.0,100,75,21.92
274,Olinda,BR,2020-10-31 07:58:36,-8.01,-34.86,80.6,78,75,8.05
275,Killybegs,IE,2020-10-31 07:59:43,54.63,-8.45,57.2,93,90,13.87
276,Nouakchott,MR,2020-10-31 07:59:43,18.09,-15.98,69.8,73,0,12.75
277,Nemuro,JP,2020-10-31 07:59:44,43.32,145.57,46.4,65,20,2.24
278,Sturgeon Bay,US,2020-10-31 07:59:44,44.83,-87.38,28.4,74,1,5.82
279,Port Jervis,US,2020-10-31 07:59:44,41.38,-74.69,26.01,41,0,4.72
280,Corn Island,NI,2020-10-31 07:59:45,12.17,-83.04,82.94,77,79,11.05
281,Luderitz,NA,2020-10-31 07:59:45,-26.65,15.16,73.9,29,72,25.41
282,Salalah,OM,2020-10-31 07:59:45,17.02,54.09,87.8,27,0,10.29
283,Carbonia,IT,2020-10-31 07:59:45,39.17,8.52,51.8,81,20,2.24
284,Sambava,MG,2020-10-31 07:59:46,-14.27,50.17,75.36,64,96,16.44
285,Sobolevo,RU,2020-10-31 07:59:46,54.43,31.9,46.78,93,100,4.45
286,Seredka,RU,2020-10-31 07:59:46,58.16,28.19,46.4,87,40,2.24
287,Odienne,CI,2020-10-31 07:59:47,9.51,-7.57,75.6,66,0,1.21
288,Chokurdakh,RU,2020-10-31 07:59:47,70.63,147.92,9.39,96,100,5.86
289,Anadyr,RU,2020-10-31 07:59:48,64.75,177.48,8.6,84,75,8.95
290,Tahe,CN,2020-10-31 07:59:49,52.33,124.73,28.87,98,100,10.18
291,Uruacu,BR,2020-10-31 07:59:49,-14.52,-49.14,70.38,94,100,2.26
292,Laguna,US,2020-10-31 07:59:49,38.42,-121.42,53.01,76,1,2.1
293,Inhambane,MZ,2020-10-31 07:59:50,-23.86,35.38,82.4,58,40,11.41
294,Taizhou,CN,2020-10-31 07:59:50,32.49,119.91,73.0,99,68,5.14
295,Saint George,US,2020-10-31 07:58:29,37.1,-113.58,53.6,25,1,3.36
296,Smithers,CA,2020-10-31 07:59:46,54.78,-127.17,26.6,100,90,1.72
297,Plaster Rock,CA,2020-10-31 07:59:50,46.91,-67.39,23.0,73,1,5.23
